PO_Number,PR_Number,Vendor_ID,Vendor_Name,Region,Buyer,Material_ID,Material_Name,Category,PO_Date,GR_Date,Invoice_Date,Payment_Date,Quantity,Unit_Price,PO_Value,Tax_Amount,Invoice_Amount,Payment_Terms,PO_Status
4500010015,PR-10015,V011,ONGC Petro,East,Neha Kapoor,M011,Hydraulic Fluid,Chemicals,2024-03-05,2024-03-15,2024-03-17,2024-04-16,250,620,155000,27900,182900,Net 30,Paid
4500010016,PR-10016,V006,JSW Steel,South,Priya Das,M001,Mild Steel Plates,Raw Material,2024-03-08,2024-03-18,2024-03-20,2024-04-19,600,1100,660000,118800,778800,Net 30,Paid
4500010017,PR-10017,V007,Siemens India,North,Amit Joshi,M012,Servo Motors,Electronics,2024-03-12,2024-03-25,2024-03-27,2024-05-27,20,28000,560000,100800,660800,Net 60,Paid
4500010018,PR-10018,V004,Mahindra Logistics,West,Suresh Nair,M013,Warehouse Rack,Capital Goods,2024-03-15,2024-03-28,2024-03-30,2024-05-29,10,45000,450000,81000,531000,Net 60,Paid
4500010019,PR-10019,V012,Larsen & Toubro,South,Priya Das,M014,Civil Construction,Services,2024-03-18,2024-04-05,2024-04-07,2024-06-06,1,1200000,1200000,216000,1416000,Net 60,Paid
4500010020,PR-10020,V001,Tata Steel Ltd,West,Rohit Verma,M005,Galvanized Sheets,Raw Material,2024-04-01,2024-04-11,2024-04-13,2024-05-13,450,1800,810000,145800,955800,Net 30,Paid
4500010021,PR-10021,V008,BASF India,West,Rohit Verma,M003,Polymer Resin,Chemicals,2024-04-05,2024-04-15,2024-04-17,2024-05-17,180,1650,297000,53460,350460,Net 30,Paid
4500010022,PR-10022,V009,Blue Dart Express,East,Neha Kapoor,M007,Express Delivery,Services,2024-04-08,2024-04-13,2024-04-15,2024-05-15,1,95000,95000,17100,112100,Net 30,Paid
4500010023,PR-10023,V013,ABB India,North,Amit Joshi,M006,Circuit Breakers,Electronics,2024-04-10,2024-04-23,2024-04-25,2024-06-24,30,18500,555000,99900,654900,Net 60,Paid
4500010024,PR-10024,V010,Bharat Heavy Electricals,North,Amit Joshi,M009,Generator Set,Capital Goods,2024-04-15,2024-04-30,2024-05-02,2024-07-01,1,2200000,2200000,396000,2596000,Net 60,Paid
4500010025,PR-10025,V011,ONGC Petro,East,Neha Kapoor,M011,Gear Oil,Chemicals,2024-04-18,2024-04-28,2024-04-30,2024-05-30,300,480,144000,25920,169920,Net 30,Paid
4500010026,PR-10026,V006,JSW Steel,South,Priya Das,M001,Structural Steel,Raw Material,2024-05-01,2024-05-12,2024-05-14,2024-06-13,700,1050,735000,132300,867300,Net 30,Paid
4500010027,PR-10027,V012,Larsen & Toubro,South,Priya Das,M015,Electrical Wiring,Capital Goods,2024-05-05,2024-05-18,2024-05-20,2024-07-19,1,580000,580000,104400,684400,Net 60,Paid
4500010028,PR-10028,V002,Infosys BPO,South,Priya Das,M008,ERP Customization,Services,2024-05-08,2024-05-20,2024-05-22,2024-07-06,1,750000,750000,135000,885000,Net 60,Paid
4500010029,PR-10029,V007,Siemens India,North,Amit Joshi,M006,SCADA System,Electronics,2024-05-12,2024-05-28,2024-05-30,2024-07-29,1,1500000,1500000,270000,1770000,Net 60,Paid
4500010030,PR-10030,V003,Reliance Chemicals,West,Rohit Verma,M010,Cutting Oil,Chemicals,2024-05-15,2024-05-25,2024-05-27,2024-06-26,500,290,145000,26100,171100,Net 30,Paid
4500010031,PR-10031,V001,Tata Steel Ltd,West,Rohit Verma,M001,Carbon Steel Bars,Raw Material,2024-06-01,2024-06-12,2024-06-14,2024-07-14,600,1350,810000,145800,955800,Net 30,Paid
4500010032,PR-10032,V013,ABB India,North,Amit Joshi,M012,VFD Drives,Electronics,2024-06-05,2024-06-20,2024-06-22,2024-08-21,25,32000,800000,144000,944000,Net 60,Paid
4500010033,PR-10033,V004,Mahindra Logistics,West,Suresh Nair,M016,Transport Services,Services,2024-06-08,2024-06-15,2024-06-17,2024-07-17,1,220000,220000,39600,259600,Net 30,Paid
4500010034,PR-10034,V008,BASF India,West,Rohit Verma,M003,Adhesive Chemical,Chemicals,2024-06-10,2024-06-22,2024-06-24,2024-07-24,200,1200,240000,43200,283200,Net 30,Paid
4500010035,PR-10035,V011,ONGC Petro,East,Neha Kapoor,M011,Engine Oil,Chemicals,2024-06-15,2024-06-25,2024-06-27,2024-07-27,350,520,182000,32760,214760,Net 30,Paid
4500010036,PR-10036,V005,HCL Technologies,North,Amit Joshi,M002,Cybersecurity Suite,Services,2024-06-18,2024-07-01,2024-07-03,2024-09-01,1,680000,680000,122400,802400,Net 60,Paid
4500010037,PR-10037,V006,JSW Steel,South,Priya Das,M001,Alloy Steel Coils,Raw Material,2024-07-01,2024-07-12,2024-07-14,2024-08-13,550,1250,687500,123750,811250,Net 30,Paid
4500010038,PR-10038,V012,Larsen & Toubro,South,Priya Das,M014,Plant Maintenance,Services,2024-07-05,2024-07-18,2024-07-20,2024-09-18,1,420000,420000,75600,495600,Net 60,Paid
4500010039,PR-10039,V007,Siemens India,North,Amit Joshi,M009,Power Panel,Electronics,2024-07-08,2024-07-22,2024-07-24,2024-09-22,5,185000,925000,166500,1091500,Net 60,Paid
4500010040,PR-10040,V001,Tata Steel Ltd,West,Rohit Verma,M005,Zinc Coated Sheets,Raw Material,2024-07-12,2024-07-22,2024-07-24,2024-08-23,400,2100,840000,151200,991200,Net 30,Paid
4500010041,PR-10041,V009,Blue Dart Express,East,Neha Kapoor,M007,Freight Services,Services,2024-07-15,2024-07-20,2024-07-22,2024-08-21,1,145000,145000,26100,171100,Net 30,Paid
4500010042,PR-10042,V003,Reliance Chemicals,West,Rohit Verma,M017,Safety Chemicals,Chemicals,2024-07-18,2024-07-28,2024-07-30,2024-08-29,100,2800,280000,50400,330400,Net 30,Paid
4500010043,PR-10043,V013,ABB India,North,Amit Joshi,M006,HMI Panels,Electronics,2024-08-01,2024-08-15,2024-08-17,2024-10-16,12,42000,504000,90720,594720,Net 60,Paid
4500010044,PR-10044,V010,Bharat Heavy Electricals,North,Amit Joshi,M018,Boiler Parts,Capital Goods,2024-08-05,2024-08-20,2024-08-22,2024-10-21,1,3500000,3500000,630000,4130000,Net 60,Paid
4500010045,PR-10045,V004,Mahindra Logistics,West,Suresh Nair,M019,Heavy Equipment,Capital Goods,2024-08-08,2024-08-25,2024-08-27,2024-10-26,2,1200000,2400000,432000,2832000,Net 60,Paid
4500010046,PR-10046,V006,JSW Steel,South,Priya Das,M001,TMT Rebars,Raw Material,2024-08-12,2024-08-22,2024-08-24,2024-09-23,900,980,882000,158760,1040760,Net 30,Paid
4500010047,PR-10047,V002,Infosys BPO,South,Priya Das,M020,Training Services,Services,2024-08-15,2024-08-28,2024-08-30,2024-10-14,1,380000,380000,68400,448400,Net 45,Paid
4500010048,PR-10048,V008,BASF India,West,Rohit Verma,M003,Coating Chemical,Chemicals,2024-08-18,2024-08-28,2024-08-30,2024-09-29,250,1100,275000,49500,324500,Net 30,Paid
4500010049,PR-10049,V005,HCL Technologies,North,Amit Joshi,M002,Network Setup,Services,2024-09-01,2024-09-12,2024-09-14,2024-11-13,1,520000,520000,93600,613600,Net 60,Paid
4500010050,PR-10050,V011,ONGC Petro,East,Neha Kapoor,M011,Compressor Oil,Chemicals,2024-09-05,2024-09-15,2024-09-17,2024-10-17,280,560,156800,28224,185024,Net 30,Paid
